#NAME	CopdIAA.1	CopdIAA.2	CopdIAA.3	CopdIAA.4	CopdPBS.1	CopdPBS.2	CopdPBS.3	CopdPBS.4	CtrlIAA.1	CtrlIAA.2	CtrlIAA.3	CtrlIAA.4	CtrlPBS.1	CtrlPBS.2	CtrlPBS.3	CtrlPBS.4
#CLASS	COPDIAA	COPDIAA	COPDIAA	COPDIAA	COPDPBS	COPDPBS	COPDPBS	COPDPBS	ControlIAA	ControlIAA	ControlIAA	ControlIAA	ControlPBS	ControlPBS	ControlPBS	ControlPBS
Kctd11	476	367	418	468	514	499	394	599	376	552	645	642	494	795	553	423
Kctd12	1319	1234	1578	2310	1852	1013	864	1713	1206	1685	2400	2383	1704	1920	2333	3731
Kctd12b	107	142	152	239	190	118	121	175	82	176	171	208	120	163	179	207
Kctd13	356	260	324	384	367	356	244	346	215	323	380	417	293	305	412	432
Kctd14	170	206	159	226	318	196	111	211	86	185	146	194	179	181	195	217
Kctd15	291	237	334	360	262	314	310	314	261	338	391	497	267	322	323	419
Kctd16	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0
Kctd17	683	594	610	839	740	722	580	717	606	626	855	1031	625	837	644	1139
Kctd18	214	172	226	241	245	205	117	220	183	227	279	273	205	254	253	342
Kctd19	3	4	9	1	2	1	0	3	1	5	7	8	2	6	8	8
Kctd2	1576	1194	1219	1437	1545	1432	1251	1424	1157	1392	1482	1651	1292	1390	1615	1540
Kctd20	1555	1335	1654	2011	1846	1702	1207	1850	1456	1501	2052	2269	1379	2165	1965	2029
Kctd21	270	222	243	312	313	301	235	261	303	262	401	435	296	305	374	239
Kctd3	523	553	620	796	728	592	456	674	588	683	796	967	663	838	763	819
Kctd4	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0
Kctd5	531	453	524	623	651	542	381	622	488	572	705	769	575	629	704	771
Kctd6	227	192	200	259	237	183	141	238	185	221	288	273	235	263	284	364
Kctd7	179	149	168	177	203	173	100	211	113	124	184	228	133	155	164	140
Kctd8	31	41	28	57	51	26	24	52	41	87	60	70	69	53	82	81
Kctd9	401	305	426	533	484	391	277	419	448	502	599	651	479	431	623	641
Kdelc1	164	150	249	264	259	222	160	264	189	249	278	355	230	219	291	277
Kdelc2	587	528	723	837	682	500	525	681	785	939	1125	1230	914	666	1065	1229
Kdelr1	2401	2244	2100	2790	2609	2420	1852	2392	1823	2140	2431	2892	1947	2446	2385	2658
Kdelr2	1476	1367	1523	1945	1772	1683	1434	1738	1546	1647	2181	2513	1454	2077	1940	2058
Kdelr3	167	147	183	220	177	212	134	197	133	156	172	208	113	235	132	141
Kdf1	484	439	352	528	530	482	466	477	344	404	482	619	474	489	621	479
Kdm1a	985	816	840	1276	1159	994	806	1007	818	952	1119	1293	915	1102	1069	1181
Kdm1b	361	310	322	471	499	310	304	419	416	469	625	600	427	398	700	523
Kdm2a	1245	1184	1425	1794	1696	1307	1013	1756	1221	1485	2116	2124	1437	1717	1763	1993
Kdm2b	413	374	382	594	493	416	337	497	318	383	486	643	351	473	526	689
Kdm3a	561	527	616	700	695	509	353	667	569	698	1006	842	597	614	823	1007
Kdm3b	1277	1119	1458	1927	1610	1255	982	1409	1304	1356	2030	2263	1484	1498	2054	2481
Kdm4a	1221	1099	1274	1638	1398	1234	814	1360	922	1162	1473	1835	1097	1235	1587	1857
Kdm4b	772	690	805	1030	857	881	697	855	738	755	1051	1187	782	864	1126	1142
Kdm4c	345	358	447	577	507	320	282	535	464	550	702	685	458	520	671	596
Kdm4d	5	4	0	1	6	3	2	3	5	0	3	4	1	1	1	1
Kdm4dl	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0
Kdm5a	579	609	797	1051	932	558	407	837	615	859	1090	933	673	805	893	1223
Kdm5b	677	605	790	885	811	734	562	889	675	744	1038	1128	704	839	964	897
Kdm5c	1218	1049	1262	1726	1564	1267	1204	1443	1157	1175	1691	2092	1209	1638	1598	1482
Kdm5d	188	236	267	243	294	179	156	325	191	306	328	341	225	276	279	318
Kdm6a	256	312	378	493	458	211	230	416	310	459	569	470	379	291	476	555
Kdm6b	1354	1216	1694	1728	1347	1400	1090	1441	1254	1384	2149	2200	1385	1779	1924	2578
Kdm6bos	0	0	0	5	0	0	1	1	0	2	0	0	1	0	1	0
Kdm7a	427	517	642	701	612	319	331	561	453	698	992	609	655	984	653	792
Kdm8	88	60	77	89	93	77	61	88	54	83	95	99	88	125	80	99
Kdr	4822	3418	6293	5571	3469	3907	2751	5296	3716	4995	6371	7671	3270	4343	5590	6744
Kdsr	763	711	847	870	944	832	580	897	772	956	1318	1286	898	954	1127	1150
Keap1	2238	1642	1806	2235	2139	2158	2036	2202	1850	1880	2613	2911	1931	2621	2515	2803
Keg1	3	3	4	2	2	4	4	2	3	1	3	7	3	3	2	8
Kel	11	7	20	11	7	5	1	11	2	2	4	4	8	7	1	14
Kera	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Khdc1a	3	3	8	10	5	2	0	8	3	0	10	1	0	8	0	6
Khdc1b	2	0	0	5	0	1	0	5	0	0	1	1	0	1	0	1
Khdc1c	4	3	6	4	6	0	0	6	1	3	1	1	13	4	7	1
Khdc3	1	9	4	3	6	2	0	7	4	6	12	5	10	16	7	5
Khdc4	335	427	568	467	512	368	378	490	524	670	718	540	478	608	566	534
Khdrbs1	1614	1589	1743	2230	2104	1479	1203	1986	1285	1624	2157	2156	1564	2186	1975	2401
Khdrbs2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Khdrbs3	335	278	219	341	286	291	243	320	372	385	477	600	354	443	435	477
Khk	670	685	530	634	687	671	541	607	519	586	825	748	599	729	880	913
Khnyn	885	826	938	1131	1177	1039	675	1134	666	925	1218	1227	835	1072	1079	1269
Khsrp	2143	1827	2029	2844	2341	2285	1906	2252	1757	1885	2587	3104	2079	2499	2548	3004
Kidins220	1522	1386	2053	2355	2051	1493	1328	2017	1614	2038	2858	2951	1917	1986	2719	2930
Kif11	51	52	50	137	80	50	62	71	40	51	39	87	44	122	58	108
Kif12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Kif13a	1620	1387	2004	2264	1776	1553	1102	1978	2068	2137	3305	3435	1948	2258	3367	3882
Kif13b	1379	1162	1523	1688	1489	1305	1088	1375	1221	1483	1986	2251	1285	1215	1879	2362
Kif14	23	17	21	42	19	30	30	22	22	17	20	32	24	30	15	40
Kif15	20	32	29	48	41	26	34	31	14	15	22	33	24	41	23	37
Kif16b	564	472	631	840	751	518	434	738	718	754	1011	1013	858	691	1066	1152
Kif16bos	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Kif17	8	12	13	11	10	13	18	13	16	28	31	18	27	25	17	43
Kif18a	14	11	25	29	25	15	14	14	14	40	32	21	37	19	36	37
Kif18b	29	27	25	58	24	40	48	17	17	24	14	56	19	63	35	49
Kif19a	259	201	111	333	531	285	134	452	219	492	400	488	483	477	421	537
Kif1a	69	66	82	153	125	135	96	122	104	182	236	300	143	138	178	162
Kif1b	1659	1585	2226	2581	2442	1632	1397	2419	1878	2441	3257	3354	2272	2184	3170	3488
Kif1bp	687	643	664	855	832	734	606	794	697	824	1031	1214	789	947	994	857
Kif1c	11917	8196	9981	11831	10416	9353	9139	10953	14266	12454	16590	19278	12717	13225	17601	15978
Kif20a	55	73	58	129	77	82	83	60	45	50	41	149	69	118	60	116
Kif20b	12	32	16	31	24	17	21	34	22	25	19	21	24	23	25	23
Kif21a	215	244	219	479	496	247	164	456	451	748	774	831	689	620	692	745
Kif21b	502	429	505	760	746	468	309	664	184	239	413	388	295	550	357	783
Kif22	60	68	54	109	59	75	65	52	39	37	37	97	33	135	60	107
Kif23	59	85	59	166	108	98	89	80	72	71	103	159	84	147	126	98
Kif24	43	35	41	79	47	27	39	69	28	54	71	85	51	62	52	80
Kif26a	819	393	818	912	671	649	374	964	783	697	1056	1499	570	619	1314	1262
Kif26b	249	187	225	316	304	238	85	349	370	369	476	584	350	287	444	402
Kif27	71	76	62	168	169	86	46	167	150	277	249	272	239	225	248	236
Kif28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
Kif2a	340	376	423	562	509	311	286	505	400	536	556	581	511	613	604	632
Kif2c	29	38	24	55	38	50	48	32	23	30	30	66	30	77	39	43
Kif3a	265	362	304	418	478	293	287	447	355	564	573	651	541	511	598	511
Kif3b	855	778	841	1378	1210	765	617	1018	868	966	1174	1416	983	1193	1215	1357
Kif3c	577	377	499	613	535	503	384	663	622	605	795	1093	665	632	943	758
Kif4	37	38	37	78	31	58	38	48	38	40	43	74	32	74	28	58
Kif4-ps	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Kif5a	13	6	16	25	20	21	9	20	10	18	16	12	10	11	24	20
Kif5b	1995	1935	2321	3126	2994	1417	1933	2833	3236	3948	3658	3996	3691	3303	4422	3753
Kif5c	33	22	21	49	40	22	25	42	21	26	23	30	16	18	21	45
Kif6	43	45	27	66	82	53	30	104	50	116	109	133	102	110	113	162
Kif7	97	82	98	123	79	109	73	119	73	98	151	159	86	107	149	185
Kif9	150	125	91	201	282	149	105	263	159	311	365	390	340	348	297	364
Kifap3	579	545	660	794	798	579	456	752	653	867	1007	1093	850	724	979	974
Kifc1	64	63	36	113	79	83	81	68	39	39	49	117	62	72	75	96
Kifc2	98	141	158	169	116	143	105	141	86	151	153	185	118	102	166	199
Kifc3	2075	1962	2273	2845	2169	2171	2206	2209	1879	2075	3049	3593	1883	2208	3101	3054
Kifc5b	23	22	19	32	28	30	25	33	18	24	23	35	21	26	27	29
Kin	137	137	129	167	180	142	95	163	134	176	199	182	156	189	212	183
Kirrel	527	572	849	864	517	541	485	538	617	640	1038	928	588	566	776	1252
Kirrel2	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	7
Kirrel3	14	6	8	11	6	19	2	13	14	9	13	20	17	12	18	15
Kirrel3os	0	0	3	1	0	0	1	1	0	3	3	0	0	1	0	0
Kiss1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
Kiss1r	107	118	103	131	98	162	117	105	46	89	100	128	99	66	120	99
Kit	1719	883	2304	2163	1527	1753	757	2535	1199	1785	2398	3166	1123	1983	2100	2675
Kitl	1219	1164	1736	1581	1316	765	731	1599	1923	3103	2718	2531	2234	1783	2672	2350
Kiz	631	752	625	941	931	681	529	822	648	916	1077	1017	811	893	1093	1328
Kl	10	2	14	5	15	9	1	7	13	11	11	12	19	14	20	14
Klb	2	2	4	7	6	7	4	4	4	8	6	6	2	6	2	66
Klc1	2676	1885	2405	2773	2307	2416	2031	2835	2895	2817	3688	4184	2577	3017	3895	3798
Klc2	699	542	618	812	770	818	706	730	690	717	1020	1110	789	802	1166	906
Klc3	523	434	371	523	551	644	441	423	339	418	466	592	458	436	645	485
Klc4	1206	1044	935	1418	1321	1326	1043	1171	993	1086	1209	1514	1125	1050	1487	1245
Klf1	2	4	3	3	1	7	4	2	2	2	4	2	4	6	4	4
Klf10	747	598	558	968	926	655	442	856	467	736	1059	839	610	963	857	1144
Klf11	454	380	420	423	461	424	183	481	493	606	737	537	487	521	746	1106
Klf12	92	115	121	154	87	70	57	88	163	155	236	247	112	105	196	290
Klf13	2917	2287	3255	4256	3585	2982	2144	3895	4036	3950	6510	6371	4451	6423	5563	7393
Klf14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Klf15	771	614	807	831	790	700	465	830	2451	1765	3093	2289	2781	2050	2899	3435
Klf16	508	441	414	526	556	530	464	532	376	386	513	617	363	618	546	546
Klf17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Klf2	4449	3143	3553	3233	2668	3415	3177	2814	3148	3452	5234	5023	2948	6805	5291	5951
Klf3	1610	1487	1730	2414	2140	1398	1246	1956	1675	2067	3197	2811	2011	2150	2955	3598
Klf4	1331	1252	1546	1730	1575	1208	1033	1578	2270	2053	2950	2920	2099	3008	2863	3597
Klf5	846	846	739	1013	1315	932	754	1059	975	1286	1666	1544	1302	1572	1425	1423
Klf6	1929	1829	2001	2749	2787	1615	1706	2462	2152	2845	3143	2592	2646	3139	3129	3812
Klf7	582	494	901	986	699	510	466	902	996	992	1646	1595	914	1397	1236	1520
Klf8	37	27	35	40	45	28	24	37	24	28	51	38	39	26	45	35
Klf9	1111	1240	1888	1977	1666	1009	840	1820	3672	3692	4606	4179	3906	3610	5347	7637
Klhdc1	101	101	129	174	146	111	66	123	122	149	184	199	177	128	202	169
Klhdc10	1103	1085	1251	1493	1377	1119	906	1278	958	1216	1477	1808	1082	1228	1593	1627
Klhdc2	648	674	691	839	842	764	598	746	696	775	1023	1030	753	886	1042	1030
Klhdc3	1825	1685	1437	1992	1796	1971	1580	1775	1293	1412	1776	1977	1407	1926	1688	1967
Klhdc4	1710	2165	1665	2967	2961	2570	1575	2272	957	956	1006	1715	861	1421	1251	1385
Klhdc7a	259	279	257	352	547	334	252	456	258	537	440	613	433	360	416	713
Klhdc7b	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
Klhdc8a	278	233	250	356	356	395	352	315	219	309	316	454	268	563	360	362
Klhdc8b	303	283	354	412	252	285	235	305	228	420	367	319	257	289	296	283
Klhdc9	23	24	21	45	48	44	13	55	16	52	36	70	45	16	44	52
Klhl1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Klhl10	4	3	6	4	2	7	2	4	4	1	0	7	1	0	1	5
Klhl11	75	66	82	135	101	49	54	95	83	95	222	164	79	85	161	237
Klhl12	360	294	333	355	425	308	260	333	321	425	408	479	366	456	477	447
Klhl13	160	177	202	282	228	182	188	237	236	341	379	471	221	251	313	399
Klhl14	4	2	7	5	3	1	6	8	2	5	6	1	2	6	6	29
Klhl15	105	96	107	144	157	90	60	134	87	138	181	153	91	145	169	205
Klhl18	478	431	554	622	557	486	441	516	463	494	705	781	496	642	682	557
Klhl2	706	615	812	865	869	569	499	954	1286	1257	2083	1588	1429	1678	1778	1775
Klhl20	301	258	292	351	328	291	247	342	236	316	451	415	310	342	365	353
Klhl21	1085	1155	1005	1665	1337	1101	833	1206	1070	1109	1448	1478	1027	1081	1521	2010
Klhl22	555	542	595	736	645	647	479	605	454	561	681	818	453	468	664	760
Klhl23	103	134	182	205	143	146	70	166	124	186	205	237	134	202	167	205
Klhl24	1502	1897	2005	2910	2635	1536	1161	2316	1917	2322	2881	2783	2347	1773	2781	2442
Klhl25	829	758	726	961	1071	982	808	931	858	818	1146	1230	964	940	1316	995
Klhl26	644	599	651	815	630	673	467	584	472	608	695	947	532	639	773	896
Klhl28	154	191	137	207	237	120	107	180	153	270	277	150	193	224	200	191
Klhl29	258	426	364	420	468	328	249	402	340	364	528	733	391	409	728	772
Klhl3	69	61	90	99	73	78	45	118	48	89	112	106	74	50	93	117
Klhl30	5	2	6	13	6	5	5	9	3	6	7	10	4	4	3	17
Klhl31	0	2	5	0	2	2	2	3	2	9	2	5	1	9	4	8
Klhl32	10	11	13	25	27	18	8	23	14	34	38	47	27	40	31	28
Klhl33	36	12	33	47	53	29	32	39	24	42	50	41	40	18	46	33
Klhl34	4	5	2	6	2	5	3	4	4	16	15	11	11	12	9	3
Klhl35	20	6	10	10	10	15	5	16	6	4	9	8	8	4	5	16
Klhl36	369	271	310	416	409	386	267	357	198	257	349	429	256	314	349	491
Klhl38	35	24	32	55	56	73	24	53	38	70	97	50	63	38	61	26
Klhl4	7	6	25	13	19	4	8	13	11	16	14	18	13	9	19	14
Klhl40	0	0	0	1	0	0	0	0	0	0	0	1	0	7	0	0
Klhl41	4	2	5	3	8	7	4	6	4	8	8	15	2	24	9	12
Klhl42	350	263	353	330	422	324	241	461	282	455	577	539	317	452	410	498
Klhl5	3836	2988	4573	4907	3899	3498	2161	5433	4847	5541	6614	8130	4452	5407	6747	7518
Klhl6	394	349	369	490	623	397	286	491	180	213	334	305	266	577	249	571
Klhl7	287	338	404	490	481	294	276	450	329	495	629	588	429	441	475	654
Klhl8	182	161	167	183	219	185	108	177	194	214	238	271	209	199	238	161
Klhl9	896	926	1082	1466	1593	834	832	1340	1037	1411	1809	1658	1259	1400	1551	1616
Klk1	15	16	12	12	7	10	7	22	9	17	20	22	3	18	15	18
Klk10	26	23	6	80	57	48	12	56	13	22	23	51	20	25	16	19
Klk11	21	25	11	40	66	29	7	76	26	48	44	59	69	54	49	57
Klk13	104	121	78	180	86	131	149	121	79	97	156	218	63	145	121	86
Klk14	26	26	24	32	19	52	36	25	17	24	35	46	16	37	31	41
Klk1b1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Klk1b11	2	4	1	1	2	3	4	2	0	0	0	0	0	0	0	1
Klk1b14-ps	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Klk1b16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b21	2	1	0	0	4	0	0	4	0	1	0	1	5	0	1	5
Klk1b22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Klk1b24	0	0	0	0	1	0	0	0	1	1	0	1	3	1	0	1
Klk1b26	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0
Klk1b27	5	4	0	4	2	2	1	2	0	0	0	1	0	0	1	4
Klk1b3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Klk1b4	0	2	0	0	1	1	0	2	1	2	2	2	1	2	2	1
Klk1b5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Klk1b8	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0
Klk1b9	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2
Klk7	0	0	1	0	1	0	0	0	0	1	1	2	4	1	1	0
Klk8	294	245	208	251	334	257	169	252	171	197	263	286	193	276	259	278
Klk9	1	0	1	0	2	1	0	1	1	2	1	1	0	0	0	0
Klkb1	34	37	52	26	32	25	31	44	34	50	34	53	48	23	31	49
Klra1	6	4	9	6	8	2	12	12	2	6	5	6	9	10	5	7
Klra10	1	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0
Klra11-ps	0	0	0	2	0	0	0	1	1	0	3	1	2	1	2	1
Klra13-ps	1	2	22	18	5	5	4	13	4	15	11	7	3	16	5	6
Klra14-ps	2	6	10	20	9	6	1	11	1	3	15	11	10	10	3	3
Klra17	2	18	5	8	6	3	12	8	1	7	13	2	3	15	6	7
Klra2	136	194	130	283	284	115	101	190	62	61	244	89	91	487	100	101
Klra3	16	13	11	15	11	16	3	19	0	11	11	7	3	17	8	7
Klra4	15	8	49	51	40	13	2	38	24	23	37	12	32	34	34	22
Klra5	1	1	4	1	2	0	1	2	0	2	1	0	0	1	1	1
Klra6	2	2	4	5	5	1	1	4	2	0	1	1	3	7	1	1
Klra7	14	10	27	41	27	10	8	28	6	7	20	14	12	30	14	9
Klra8	19	26	32	46	37	10	9	49	19	21	44	30	35	51	27	29
Klra9	32	13	22	50	27	16	6	34	17	24	47	24	23	34	24	11
Klrb1	1	0	2	3	1	1	1	5	0	0	2	2	0	3	1	3
Klrb1-ps1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrb1a	14	8	14	19	14	16	5	13	7	11	18	18	6	18	11	8
Klrb1b	163	231	218	355	393	226	141	280	103	138	125	134	143	149	140	182
Klrb1c	123	78	149	201	108	98	41	152	115	114	193	174	142	246	153	192
Klrb1f	14	11	16	21	17	8	8	17	8	8	16	9	12	23	7	14
Klrc1	43	30	43	61	101	36	32	64	42	43	72	46	56	83	69	74
Klrc2	17	15	22	48	19	8	13	24	16	35	27	29	24	47	25	31
Klrc3	1	0	0	1	0	1	0	1	1	1	0	0	1	3	0	1
Klrd1	84	81	112	122	179	72	43	133	42	78	104	54	87	89	83	96
Klre1	29	19	38	47	42	20	34	48	17	31	53	33	45	35	27	16
Klrg1	93	26	53	88	42	45	61	62	56	33	72	66	59	128	80	80
Klrg2	64	53	61	84	117	80	57	91	85	89	128	152	99	141	127	94
Klri1	7	4	5	12	11	4	6	6	1	7	1	2	1	3	2	5
Klri2	39	28	40	66	55	29	6	56	29	32	49	32	28	49	28	43
Klrk1	156	114	133	212	268	112	68	155	68	101	125	115	127	205	107	135
Kmo	133	147	106	160	167	133	86	127	78	59	71	103	83	111	87	132
Kmt2a	767	782	1177	1328	1172	691	632	1129	962	1068	1522	1527	972	956	1352	1790
Kmt2b	1110	1040	1247	1464	1388	1264	1055	1324	1067	1193	1926	1796	1149	1544	1552	1443
Kmt2c	564	583	847	1026	849	524	461	852	738	946	1310	1237	805	799	1165	1492
Kmt2d	1454	1641	2423	2550	2176	1650	1425	2169	1565	1963	3208	3191	1735	2277	2481	2700
Kmt2e	948	1000	1394	1675	1333	920	931	1289	1105	1335	1918	2010	1136	1223	1933	2206
Kmt5a	1169	1173	1201	1966	1877	1207	1318	1622	1505	1557	1545	2119	1716	1838	2048	1853
Kmt5b	789	802	1005	1374	1192	754	658	1153	963	1269	1557	1604	1074	1173	1530	1309
Kmt5c	437	508	549	699	566	554	394	548	346	476	485	611	382	549	499	526
Kncn	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1
Kndc1	123	105	113	263	280	188	72	334	212	372	345	424	377	331	319	459
Kng1	127	99	92	133	132	123	92	122	116	130	152	141	101	121	163	161
Kng2	26	39	37	47	48	67	55	34	26	33	29	54	32	29	25	38
Knl1	9	17	13	29	19	7	22	13	11	10	13	23	14	29	14	15
Knop1	531	490	553	757	728	559	483	674	575	586	818	860	648	833	748	715
Knstrn	82	85	63	171	94	103	105	83	45	49	81	136	73	122	71	109
Kntc1	17	18	15	52	26	21	29	21	17	11	22	39	10	36	29	37
Kpna1	665	679	854	1003	1050	664	564	886	802	984	1199	1301	894	1076	1074	1173
Kpna2	594	684	626	881	964	707	731	802	536	726	964	1000	637	1180	747	830
Kpna2-ps	2	9	4	0	2	2	0	10	6	0	0	2	5	0	0	0
Kpna3	383	448	478	770	688	336	371	597	508	613	634	681	585	571	631	623
Kpna4	1247	1224	1473	1814	1789	1100	1070	1558	1514	1706	2256	2169	1588	1887	1955	2080
Kpna6	1060	1071	1103	1576	1422	1153	925	1256	939	1102	1509	1801	1085	1323	1476	1727
Kpnb1	3156	2912	3400	4376	3973	3079	2483	3907	3157	3471	4553	5043	3535	4500	4400	4980
Kprp	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Kptn	316	256	263	316	332	310	257	272	175	253	305	328	202	267	330	288
Kras	1235	1248	1438	1871	1876	1000	1107	1764	1859	1977	2243	2219	1924	2397	2553	2086
Krba1	292	235	290	346	302	313	250	314	202	305	348	366	258	247	325	351
Krcc1	643	736	765	1191	1116	569	694	1019	1058	1260	1286	1300	1334	1192	1434	1390
Kremen1	836	741	951	1314	1133	986	700	1172	832	1083	1572	1602	1098	1337	1402	1924
Kremen2	11	5	6	10	10	13	12	6	8	8	9	12	14	11	8	9
Kri1	535	420	506	643	563	521	460	553	473	478	608	640	422	792	559	536
Krit1	375	422	554	638	573	372	380	557	494	779	749	652	546	635	659	589
Krr1	409	464	405	593	644	308	366	548	476	674	781	643	635	684	695	618
Krt1	14	9	4	11	17	20	11	15	18	31	20	20	11	17	17	14
Krt10	48	52	61	66	59	84	47	67	53	75	70	77	67	67	88	74
Krt12	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Krt13	2	5	3	1	5	6	3	6	5	7	7	10	4	11	7	8
Krt14	34	18	8	25	26	24	45	15	45	26	31	36	24	82	26	63
Krt15	15	6	4	4	601	5	3	120	13	21	9	35	22	4	15	546
Krt17	2	0	0	1	45	1	1	9	2	1	2	7	2	0	5	11
Krt18	3330	3052	2685	3439	3974	3923	3430	3057	2881	3595	3893	4726	3429	4998	4186	4864
Krt19	6907	5223	5521	7172	6843	6374	7643	5947	5122	6896	8749	10088	6598	10085	8249	10475
Krt20	0	0	0	1	1	1	1	4	0	0	2	2	0	1	4	7
Krt222	5	2	7	12	9	6	6	7	4	10	3	5	0	5	13	62
Krt23	557	708	513	677	634	656	604	567	349	404	377	661	355	460	602	523
Krt25	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0
Krt28	3	0	2	2	7	3	0	2	0	2	3	2	0	1	1	4
Krt31	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Krt33a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
Krt33b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt34	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Krt35	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Krt36	1	1	3	1	3	1	0	0	0	4	12	4	1	5	1	7
Krt4	2	1	1	4	7	0	1	3	3	2	2	5	2	2	2	9
Krt42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Krt5	0	0	0	1	318	1	1	58	0	2	4	10	1	1	4	200
Krt6a	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
Krt6b	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Krt7	14211	9232	10728	12950	12197	13277	13529	10564	11714	11669	14784	16781	12340	14173	16148	12001
Krt71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Krt72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt76	1	0	1	0	0	1	2	0	0	2	2	0	0	5	0	18
Krt77	0	0	0	1	0	1	0	1	0	0	0	0	2	1	2	2
Krt78	10	18	9	24	15	18	20	22	2	8	0	8	3	9	2	5
Krt79	1085	1465	1318	2631	1936	1014	1244	1291	730	601	508	1564	477	898	855	1324
Krt8	5419	4616	4436	6203	7556	6450	6409	5651	5439	6975	7880	9714	7119	9584	8040	9063
Krt8-ps	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Krt80	4565	2339	4118	3735	3026	3678	2927	4155	4748	5026	7562	9204	4546	6478	6646	7356
Krt81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Krt83	28	61	37	73	185	48	25	80	12	9	4	8	1	15	6	18
Krt86	2	8	5	4	0	4	3	2	2	9	3	3	3	5	3	3
Krt87	14	13	6	26	34	11	11	22	14	16	16	18	16	25	19	28
Krt88	1	0	1	1	1	2	0	0	0	3	2	0	0	4	1	4
Krt9	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
Krtap1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Krtap1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap17-1	62	42	51	93	62	97	100	54	89	143	178	104	115	142	149	98
Krtap19-5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Krtap21-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Krtap28-10	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0
Krtap28-13	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
Krtap4-6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Krtap5-4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap5-5	1	0	0	0	0	1	2	0	0	1	2	0	0	1	0	0
Krtcap2	1377	1116	1182	1378	1383	1438	1309	1369	1150	1180	1540	1760	1229	1689	1480	1461
Krtcap3	403	388	325	456	523	492	367	472	319	463	481	561	415	430	517	430
Krtdap	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ksr1	362	242	422	460	407	324	279	415	398	435	687	570	398	562	519	694
Ksr2	5	3	7	6	6	6	8	7	5	1	8	5	2	9	3	13
Kti12	469	346	362	405	423	470	428	489	373	386	565	562	368	714	459	482
Ktn1	544	581	764	926	786	425	480	740	702	1100	1132	1066	991	843	1136	1254
Kxd1	1080	869	770	1089	1105	1048	698	928	616	747	850	1034	744	923	969	1161
Ky	30	24	32	41	41	19	37	40	16	52	35	57	44	41	44	70
